Stock,LIMIT_UP_PRICE,LIMIT_UP_TIME,BREAK_LIMIT_UP_TIME,Date,Ticker
000810.SZ,13.19,2020-01-02 09:59:15.730,2020-01-02 11:22:15.920,20200102,127013.SZ
002174.SZ,25.6,2020-01-02 10:44:27.380,2020-01-02 10:46:03.150,20200102,128074.SZ
300088.SZ,11.3,2020-01-02 10:39:47.600,2020-01-02 13:44:20.090,20200102,123022.SZ
002460.SZ,40.02,2020-01-06 10:32:27.040,2020-01-06 10:39:51.660,20200106,128028.SZ
002497.SZ,8.64,2020-01-06 13:18:29.280,2020-01-06 14:12:17.510,20200106,128065.SZ
002548.SZ,9.88,2020-01-06 11:05:56.050,2020-01-06 11:08:35.530,20200106,128036.SZ
002823.SZ,10.42,2020-01-06 09:30:00.020,2020-01-06 11:17:43.310,20200106,128042.SZ
300088.SZ,12.02,2020-01-06 13:37:50.680,2020-01-06 13:39:52.880,20200106,123022.SZ
300677.SZ,19.65,2020-01-06 13:50:46.190,2020-01-06 13:52:33.160,20200106,123029.SZ
000700.SZ,4.65,2020-01-07 09:30:00.070,2020-01-07 13:13:59.310,20200107,127004.SZ
000810.SZ,15.43,2020-01-07 11:27:38.880,2020-01-07 11:29:59.510,20200107,127013.SZ
002823.SZ,11.46,2020-01-07 09:25:00.000,2020-01-07 09:35:53.000,20200107,128042.SZ
300591.SZ,6.48,2020-01-07 09:50:43.800,2020-01-07 13:23:14.830,20200107,123032.SZ
300677.SZ,21.15,2020-01-07 10:11:36.080,2020-01-07 10:13:16.460,20200107,123029.SZ
000700.SZ,5.12,2020-01-08 09:25:00.000,2020-01-08 15:00:00.000,20200108,127004.SZ
000887.SZ,10.92,2020-01-08 10:32:45.230,2020-01-08 10:33:16.390,20200108,127011.SZ
002284.SZ,5.92,2020-01-08 09:47:45.650,2020-01-08 09:52:40.760,20200108,128023.SZ
000700.SZ,5.63,2020-01-09 09:25:00.000,2020-01-09 10:48:13.010,20200109,127004.SZ
002224.SZ,6.9,2020-01-09 13:27:57.380,2020-01-09 15:00:00.000,20200109,128039.SZ
002368.SZ,42.22,2020-01-09 14:12:21.290,2020-01-09 14:16:03.010,20200109,128078.SZ
300591.SZ,6.9,2020-01-09 14:45:23.070,2020-01-09 15:00:00.000,20200109,123032.SZ
002846.SZ,21.43,2020-01-10 09:40:23.330,2020-01-10 09:41:19.830,20200110,128079.SZ
000700.SZ,6.52,2020-01-13 09:30:00.090,2020-01-13 09:47:34.780,20200113,127004.SZ
002131.SZ,3.16,2020-01-13 10:29:38.280,2020-01-13 15:00:00.000,20200113,128038.SZ
300409.SZ,15.37,2020-01-13 11:07:00.310,2020-01-13 11:29:50.930,20200113,123007.SZ
000700.SZ,7.17,2020-01-14 09:25:00.000,2020-01-14 11:29:57.670,20200114,127004.SZ
002497.SZ,10.57,2020-01-14 10:53:43.090,2020-01-14 11:24:48.020,20200114,128065.SZ
002717.SZ,6.78,2020-01-14 10:43:53.250,2020-01-14 10:47:42.260,20200114,128044.SZ
300409.SZ,16.91,2020-01-14 09:25:00.000,2020-01-14 09:57:59.780,20200114,123007.SZ
300568.SZ,37.95,2020-01-14 10:28:20.530,2020-01-14 10:29:07.130,20200114,123009.SZ
000700.SZ,6.94,2020-01-15 14:47:05.120,2020-01-15 15:00:00.000,20200115,127004.SZ
300407.SZ,9.09,2020-01-15 09:25:00.000,2020-01-15 10:01:03.790,20200115,123014.SZ
000700.SZ,7.63,2020-01-16 09:40:15.950,2020-01-16 09:40:21.600,20200116,127004.SZ
000700.SZ,8.39,2020-01-17 10:08:06.080,2020-01-17 10:09:16.500,20200117,127004.SZ
002074.SZ,18.79,2020-01-17 13:14:40.400,2020-01-17 15:00:00.000,20200117,128086.SZ
